Name,Paper,Tracer Warning,Selection,Hide,Robust,Clean Accuracy,Robust Accuracy,Network,Backbone,Framework,Pretraining-Dataset,Training-Dataset,Visual Category,Visual Category_micro,Precision,Conv Weight Initializer,Optimizer,Task,Input Shape,Accessible
robustbench_Gowal2021Improving_70_16_ddpm_100m_cifar10_linf_13,https://arxiv.org/abs/2110.09468,,,,True,88.74,66.11,Gowal2021Improving_70_16_ddpm_100m,WideResNet-70-16,pytorch,False,cifar10,natural,,fp32,,,Classification,,
robustbench_Gowal2021Improving_28_10_ddpm_100m_cifar10_linf_13,https://arxiv.org/abs/2110.09468,,,,True,87.50,63.44,Gowal2021Improving_28_10_ddpm_100m,WideResNet-28-10,pytorch,False,cifar10,natural,,fp32,,,Classification,,
robustbench_Rice2020Overfitting_cifar100_linf_13,https://arxiv.org/abs/2002.11569,,,,True,53.83,18.95,Rice2020Overfitting,PreActResNet-18,pytorch,False,cifar100,natural,,fp32,,,Classification,,
robustbench_Wu2020Adversarial_cifar100_linf_13,https://arxiv.org/abs/2004.05884,,,,True,60.38,28.86,Wu2020Adversarial,WideResNet-34-10,pytorch,False,cifar100,natural,,fp32,,,Classification,,
robustbench_Rebuffi2021Fixing_70_16_cutmix_ddpm_cifar10_linf_13,https://arxiv.org/abs/2103.01946,,,,True,88.54,64.25,Rebuffi2021Fixing_70_16_cutmix_ddpm,WideResNet-70-16,pytorch,False,cifar10,natural,,fp32,,,Classification,,
robustbench_Zhang2020Geometry_cifar10_linf_13,https://arxiv.org/abs/2010.01736,,,,True,89.36,59.64,Zhang2020Geometry,WideResNet-28-10,pytorch,True,cifar10,natural,,fp32,,,Classification,,
robustbench_Sitawarin2020Improving_cifar100_linf_13,https://arxiv.org/abs/2003.09347,,,,True,62.82,24.57,Sitawarin2020Improving,WideResNet-34-10,pytorch,False,cifar100,natural,,fp32,,,Classification,,
robustbench_Rebuffi2021Fixing_28_10_cutmix_ddpm_cifar10_linf_13,https://arxiv.org/abs/2103.01946,,,,True,87.33,60.75,Rebuffi2021Fixing_28_10_cutmix_ddpm,WideResNet-28-10,pytorch,False,cifar10,natural,,fp32,,,Classification,,
robustbench_Huang2021Exploring_cifar10_linf_13,https://arxiv.org/abs/2110.03825,,,,True,90.56,61.56,Huang2021Exploring,WideResNet-34-R,pytorch,True,cifar10,natural,,fp32,,,Classification,,
robustbench_Huang2021Exploring_ema_cifar10_linf_13,https://arxiv.org/abs/2110.03825,,,,True,91.23,62.54,Huang2021Exploring_ema,WideResNet-34-R,pytorch,True,cifar10,natural,,fp32,,,Classification,,
