,Robust,Normal,Arch
59,robustbench_Rebuffi2021Fixing_70_16_cutmix_ddpm_cifar100_linf_13,hso_normal_training_robustbench_Gowal2020Uncovering_cifar100_13,WideResNet-70-16
60,robustbench_Rebuffi2021Fixing_28_10_cutmix_ddpm_cifar100_linf_13,hso_normal_training_robustbench_Rebuffi2021Fixing_28_10_cutmix_ddpm_cifar100_13,WideResNet-28-10
61,robustbench_Rebuffi2021Fixing_R18_ddpm_cifar100_linf_13,hso_normal_training_robustbench_Rebuffi2021Fixing_R18_ddpm_cifar100_13,PreActResNet-18
62,robustbench_Rade2021Helper_R18_ddpm_cifar100_linf_13,hso_normal_training_robustbench_Rebuffi2021Fixing_R18_ddpm_cifar100_13,PreActResNet-18
63,robustbench_Addepalli2021Towards_PARN18_cifar100_linf_13,hso_normal_training_robustbench_Addepalli2021Towards_PARN18_cifar100_13,PreActResNet-18
64,robustbench_Addepalli2021Towards_WRN34_cifar100_linf_13,hso_normal_training_robustbench_Addepalli2021Towards_WRN34_cifar100_13,WideResNet-34-10
65,robustbench_Chen2021LTD_WRN34_10_cifar100_linf_13,hso_normal_training_robustbench_Cui2020Learnable_34_10_LBGAT0_cifar100_13,WideResNet-34-10
66,robustbench_Wong2020Fast_imagenet_linf_13,hso_normal_training_robustbench_Wong2020Fast_imagenet1k_13,ResNet-50
67,robustbench_Engstrom2019Robustness_imagenet_linf_13,hso_normal_training_robustbench_Wong2020Fast_imagenet1k_13,ResNet-50
68,robustbench_Salman2020Do_R50_imagenet_linf_13,hso_normal_training_robustbench_Wong2020Fast_imagenet1k_13,ResNet-50
69,robustbench_Salman2020Do_R18_imagenet_linf_13,hso_normal_training_robustbench_Salman2020Do_R18_imagenet1k_13,ResNet-18
70,robustbench_Salman2020Do_50_2_imagenet_linf_13,hso_normal_training_robustbench_Salman2020Do_50_2_imagenet1k_13,WideResNet-50-2
